login,PR,commit,issue,repo,unknown,acc_type
7resp4ss,0.0,0.0,0.0,3.0,0.0,
80gun,0.0,0.0,0.0,1.0,0.0,
858766754,0.0,0.0,0.0,2.0,0.0,
886gb,0.0,0.0,0.0,1.0,0.0,
88700022320126485980782887,0.0,0.0,0.0,1.0,0.0,
89sundown,0.0,0.0,0.0,1.0,0.0,
8Fly,0.0,0.0,1.0,0.0,0.0,
8exleperdzu,0.0,0.0,0.0,1.0,0.0,
8vasu,0.0,0.0,6.0,0.0,0.0,
902heavymetal,0.0,0.0,0.0,1.0,0.0,
90CaI2,0.0,0.0,0.0,1.0,0.0,
9144809728,0.0,0.0,0.0,1.0,0.0,
9155765229,0.0,0.0,0.0,1.0,0.0,
917543,0.0,0.0,0.0,1.0,0.0,
9202014710,0.0,0.0,0.0,1.0,0.0,
940919673,0.0,0.0,0.0,1.0,0.0,
978367388,0.0,0.0,0.0,1.0,0.0,
986023997,0.0,0.0,0.0,1.0,0.0,
987sebasBeller,0.0,0.0,2.0,0.0,0.0,
996852302,0.0,0.0,0.0,1.0,0.0,
9985274606,0.0,0.0,0.0,1.0,0.0,
9and3,0.0,0.0,0.0,1.0,0.0,
9teenmine,0.0,0.0,0.0,1.0,0.0,
A-Alaa,0.0,0.0,2.0,0.0,0.0,
A-Infor,0.0,0.0,3.0,0.0,0.0,
A-xRay,0.0,0.0,0.0,1.0,0.0,
A0f-z,0.0,0.0,0.0,1.0,0.0,
A157-debug,0.0,0.0,0.0,1.0,0.0,
A1B3rrt,0.0,0.0,0.0,1.0,0.0,
AA-Turner,1.0,0.0,7.0,1.0,0.0,
AAAXD123,0.0,0.0,0.0,1.0,0.0,
AAoritz,1.0,6.0,4.0,3.0,0.0,
ABD-01,0.0,0.0,0.0,1.0,0.0,
ABHIJEETH-V-N,0.0,0.0,0.0,1.0,0.0,
ABHISHEKKUMAR72,0.0,0.0,0.0,1.0,0.0,
ABitCraz,0.0,0.0,0.0,1.0,0.0,
ACHSHIYARSHU,0.0,0.0,1.0,0.0,0.0,
ADSDAW,0.0,0.0,3.0,3.0,0.0,
ADSyuk777,0.0,0.0,0.0,2.0,0.0,
ADoobie,0.0,0.0,0.0,1.0,0.0,
AEnguerrand,0.0,0.0,0.0,1.0,0.0,
AFg6K7h4fhy2,0.0,0.0,0.0,4.0,0.0,
AH9316,0.0,0.0,3.0,0.0,0.0,
AI-MayankSaraf,0.0,0.0,0.0,6.0,0.0,
AIGeneratorist,0.0,0.0,0.0,2.0,0.0,
AITrading1995,0.0,0.0,0.0,3.0,0.0,
AJFSalomon,3.0,0.0,1.0,1.0,1.0,
AKGIT19,0.0,0.0,0.0,1.0,0.0,
AKarimzadeh,0.0,0.0,0.0,1.0,0.0,
AKonia,0.0,0.0,0.0,1.0,0.0,
ALEX-hao,0.0,0.0,0.0,1.0,0.0,
ALI12125555,0.0,0.0,0.0,1.0,0.0,
ALMLK-1996,0.0,0.0,0.0,1.0,0.0,
ALescoulie,0.0,0.0,3.0,0.0,0.0,
ALiersEL,0.0,0.0,0.0,1.0,0.0,
ALuchinsky,0.0,0.0,2.0,0.0,0.0,
AM-V-DO,0.0,0.0,0.0,1.0,0.0,
AMS347,0.0,0.0,0.0,1.0,0.0,
AMonninger,0.0,0.0,1.0,0.0,0.0,
ANGEL1303,0.0,0.0,1.0,0.0,0.0,
ANSHISAHNI,0.0,0.0,0.0,1.0,0.0,
ANaka,0.0,0.0,0.0,1.0,0.0,
APN-Pucky,0.0,0.0,3.0,0.0,0.0,
APTHADONMUSIC,5.0,0.0,0.0,1.0,0.0,
AR-SmartHelio,0.0,0.0,0.0,1.0,0.0,
AR1-P00,0.0,0.0,3.0,0.0,0.0,
ARessegetesStery,0.0,0.0,0.0,1.0,0.0,
ASBritoImperial,0.0,0.0,0.0,1.0,0.0,
AStcherbinine,0.0,0.0,1.0,0.0,0.0,
ASura-137-036,0.0,0.0,0.0,2.0,0.0,
ATOMJ9,0.0,0.0,0.0,1.0,0.0,
ATRIcrush,0.0,0.0,0.0,1.0,0.0,
ATamblingPoder,0.0,0.0,0.0,1.0,0.0,
ATemporaryCollectionOfCode,0.0,0.0,0.0,1.0,0.0,
AUGUSTDzw,0.0,0.0,0.0,1.0,0.0,
AUK1939,0.0,0.0,5.0,1.0,0.0,
AXE-beep,0.0,0.0,5.0,0.0,0.0,
AXJAS,0.0,0.0,0.0,1.0,0.0,
AXorsk,0.0,0.0,0.0,1.0,0.0,
Aaaaash,0.0,0.0,0.0,1.0,0.0,
AadritoD,0.0,0.0,0.0,1.0,0.0,
Aakash-Engineer,0.0,0.0,0.0,1.0,0.0,
Aakash788,1.0,0.0,0.0,1.0,0.0,
Aangh26,0.0,0.0,0.0,1.0,0.0,
Aariq,0.0,0.0,5.0,0.0,0.0,
AaronGhost,0.0,0.0,1.0,0.0,0.0,
Aaronwang1999,0.0,0.0,0.0,1.0,0.0,
AaryanMadal,0.0,0.0,1.0,0.0,0.0,
AashishNandakumar,0.0,0.0,0.0,1.0,0.0,
Aastedet,0.0,0.0,0.0,1.0,0.0,
Aatrick,0.0,0.0,0.0,1.0,0.0,
Aayush-Raut10,0.0,0.0,0.0,1.0,0.0,
Aayush716,0.0,0.0,0.0,1.0,0.0,
AayushSabharwal,108.0,31.0,109.0,13.0,15.0,
Abbohel,0.0,0.0,0.0,1.0,0.0,
AbdAlazezAhmed,0.0,0.0,0.0,1.0,0.0,
Abdelmegeed-Ahmed,0.0,0.0,0.0,2.0,0.0,
AbdelrahmanAbounida,0.0,0.0,0.0,4.0,0.0,
AbdukeramDolkun,0.0,0.0,0.0,1.0,0.0,
AbdulBasit-AB03,0.0,0.0,0.0,1.0,0.0,
AbdulMoyez,0.0,0.0,0.0,1.0,0.0,
AbdulRahumanSeeniMohamed,0.0,0.0,0.0,1.0,0.0,
Abdulbarishumi,0.0,0.0,2.0,0.0,0.0,
Abdullah-Alamodi,0.0,0.0,0.0,1.0,0.0,
Abdulmaliknurudeen4,0.0,0.0,0.0,1.0,0.0,
AbdurrahimBalta,0.0,0.0,1.0,0.0,0.0,
AbelPau,4.0,0.0,3.0,0.0,0.0,
Abemelek21,0.0,0.0,0.0,1.0,0.0,
AberChiong,0.0,0.0,0.0,1.0,0.0,
Abgael,0.0,0.0,0.0,1.0,0.0,
Abhay-Lejith,0.0,0.0,4.0,0.0,0.0,
AbhayBhandarkar,1.0,0.0,0.0,0.0,0.0,
Abhicoder03,0.0,0.0,0.0,1.0,0.0,
Abhid14,0.0,0.0,0.0,1.0,0.0,
Abhijit1102,0.0,0.0,0.0,1.0,0.0,
AbhilashAradhya,0.0,0.0,1.0,0.0,0.0,
Abhinav-Sudini,0.0,0.0,0.0,1.0,0.0,
Abhinav06052002,0.0,0.0,0.0,1.0,0.0,
Abhinavcode13,0.0,0.0,2.0,5.0,0.0,
AbhiramDodda,0.0,0.0,0.0,1.0,0.0,
Abhishek30007,0.0,0.0,0.0,1.0,0.0,
AbhishekChaudharii,1.0,0.0,1.0,0.0,0.0,
AbhishekRajput885,0.0,0.0,0.0,1.0,0.0,
Abhishekjsr283204,1.0,0.0,0.0,0.0,0.0,
Abigith,0.0,0.0,0.0,1.0,0.0,
Abimanyu2705,0.0,0.0,0.0,1.0,0.0,
Abiologist,0.0,0.0,1.0,0.0,0.0,
AbirOumghar,0.0,0.0,0.0,1.0,0.0,
Ablu,0.0,0.0,1.0,0.0,0.0,
AbnerTisa,0.0,0.0,0.0,1.0,0.0,
Abrahammmmmmmmmm,0.0,0.0,0.0,1.0,0.0,
Abril1200,0.0,0.0,0.0,1.0,0.0,
AbstractGenesis,0.0,0.0,0.0,1.0,0.0,
AbubakerSuliman,0.0,0.0,1.0,0.0,0.0,
AbyssalDrifter,0.0,0.0,0.0,1.0,0.0,
Abyssalwolf,0.0,0.0,1.0,1.0,0.0,
Abz1717,0.0,0.0,0.0,2.0,0.0,
Ac2zoom,0.0,0.0,0.0,1.0,0.0,
Accessnotdenied,0.0,0.0,0.0,1.0,0.0,
Ace-Portgaz,0.0,0.0,0.0,1.0,0.0,
AceofSpades5757,0.0,0.0,0.0,1.0,0.0,
Acetilsalicilic,0.0,0.0,0.0,3.0,0.0,
Achifaifa,0.0,0.0,3.0,0.0,0.0,
AchilleAsh,1.0,0.0,0.0,1.0,0.0,
AchyutPatel,0.0,0.0,0.0,1.0,0.0,
Ack-Mox,0.0,0.0,0.0,1.0,0.0,
Acly,0.0,0.0,1.0,0.0,0.0,
ActualizeImpact,0.0,0.0,0.0,1.0,0.0,
ActurialCapital,0.0,0.0,0.0,1.0,0.0,
Adafede,1.0,1.0,0.0,1.0,0.0,
Adam-Al-Rahman,0.0,0.0,0.0,1.0,0.0,
Adam-Edwards-JHU,0.0,0.0,0.0,1.0,0.0,
AdamPSU,0.0,0.0,0.0,1.0,0.0,
AdamRJensen,0.0,0.0,60.0,0.0,0.0,
AdamWill,0.0,0.0,7.0,0.0,0.0,
Adamtaranto,0.0,0.0,1.0,0.0,0.0,
AdaoJOAQUIM,0.0,0.0,0.0,1.0,0.0,
Adar70,0.0,0.0,1.0,0.0,0.0,
Addicted2BayesianEpistemology,0.0,0.0,0.0,1.0,0.0,
AdeelH,1.0,0.0,0.0,1.0,0.0,
AdelYoussef,0.0,0.0,0.0,1.0,0.0,
Ademfcan,0.0,0.0,0.0,1.0,0.0,
Ademord,0.0,0.0,1.0,0.0,0.0,
Adeonita,0.0,0.0,0.0,1.0,0.0,
Adi-456,0.0,0.0,1.0,0.0,0.0,
Adi3g,0.0,0.0,0.0,2.0,0.0,
Adibohra2004,0.0,0.0,0.0,1.0,0.0,
AditiMishra2003,0.0,0.0,0.0,1.0,0.0,
Aditikl,0.0,0.0,0.0,1.0,0.0,
Aditya060,0.0,0.0,3.0,1.0,0.0,
Aditya647bc,0.0,0.0,0.0,1.0,0.0,
AdityaKartikeyan-UNI-syndey,0.0,0.0,0.0,1.0,0.0,
AdityaKumarSingh312003,0.0,0.0,0.0,1.0,0.0,
AdityaKunte18,0.0,0.0,0.0,1.0,0.0,
Adityajaiswal03,2.0,0.0,4.0,3.0,0.0,
Adivered,0.0,0.0,0.0,1.0,0.0,
AdminHcat,0.0,0.0,0.0,1.0,0.0,
AdnanMuhib,0.0,0.0,0.0,1.0,0.0,
AdolphWilliam,0.0,0.0,0.0,1.0,0.0,
Ador125,0.0,0.0,0.0,1.0,0.0,
AdotaLover,0.0,0.0,5.0,0.0,0.0,
AdrianChacha,0.0,0.0,0.0,1.0,0.0,
AdrianDeWinter,0.0,0.0,1.0,0.0,0.0,
AdrianFlores09,0.0,0.0,0.0,1.0,0.0,
AdrianRomero78,0.0,0.0,0.0,1.0,0.0,
AdrianStanev,0.0,0.0,0.0,1.0,0.0,
Adriano-Baldi,0.0,0.0,0.0,1.0,0.0,
AdrianoCLeao,2.0,0.0,1.0,1.0,0.0,
AdrianoPereira,0.0,0.0,0.0,1.0,0.0,
AdvaitPote,9.0,0.0,11.0,0.0,10.0,
Aecaos,0.0,0.0,0.0,1.0,0.0,
Aedelas,0.0,0.0,0.0,1.0,0.0,
AequitasAlive,0.0,0.0,0.0,3.0,0.0,
Aerilius,0.0,0.0,1.0,0.0,0.0,
Aeslyy,0.0,0.0,0.0,1.0,0.0,
Aether-create,0.0,0.0,0.0,2.0,0.0,
Afffaa,0.0,0.0,0.0,1.0,0.0,
AfterSnows,0.0,0.0,0.0,1.0,0.0,
Agala82,0.0,0.0,0.0,2.0,0.0,
Agarcia8743,0.0,0.0,0.0,1.0,0.0,
AggressiveSignl371,0.0,0.0,0.0,1.0,0.0,
AgilentGCMS,0.0,0.0,66.0,0.0,0.0,
Agnel2010,0.0,0.0,0.0,1.0,0.0,
Aguilaluca,0.0,0.0,0.0,1.0,0.0,
Aguscarpio,0.0,0.0,0.0,1.0,0.0,
Ahdhn,0.0,0.0,0.0,1.0,0.0,
Ahg4903jhu,0.0,0.0,2.0,0.0,0.0,
AhmadAlkadri,1.0,0.0,0.0,1.0,0.0,
Ahmed-khalil3,0.0,0.0,1.0,0.0,0.0,
AhmedAlfahdi,0.0,0.0,0.0,1.0,0.0,
AhmedAlmaghz,0.0,0.0,0.0,1.0,0.0,
AhmedAnterElsayed,0.0,0.0,0.0,1.0,0.0,
AhmedFaizanDev,0.0,0.0,0.0,1.0,0.0,
AhmedSalih3d,0.0,0.0,1.0,0.0,0.0,
Ahmedabouraia,0.0,0.0,1.0,0.0,0.0,
AhmetY21,0.0,0.0,0.0,1.0,0.0,
Ahuge,0.0,0.0,0.0,1.0,0.0,
Ai-MM,0.0,0.0,0.0,1.0,0.0,
Aicirou,0.0,0.0,0.0,1.0,0.0,
Aidan-Hamilton,0.0,0.0,0.0,1.0,0.0,
AidanSun05,0.0,0.0,10.0,0.0,0.0,
Aikins-andy,0.0,0.0,0.0,1.0,0.0,
AirGHub,0.0,0.0,0.0,1.0,0.0,
Airquality-Zurich,0.0,0.0,1.0,0.0,0.0,
Aishou,0.0,0.0,0.0,1.0,0.0,
AitElBadaoui,0.0,0.0,0.0,1.0,0.0,
Aizahir914,0.0,0.0,0.0,1.0,0.0,
Ajihaty,0.0,0.0,0.0,1.0,0.0,
Akanjiro,0.0,0.0,0.0,1.0,0.0,
Akarshjha03,0.0,0.0,0.0,3.0,0.0,
Akashdeepsingh98,0.0,0.0,0.0,1.0,0.0,
AkchurinDA,0.0,0.0,34.0,1.0,0.0,
Akh9135,0.0,0.0,0.0,1.0,0.0,
Akhilesh-Reddy13,0.0,0.0,0.0,1.0,0.0,
Akila1993,0.0,0.0,1.0,0.0,0.0,
Akshataa1804,0.0,0.0,0.0,1.0,0.0,
AkshayPatil1994,0.0,0.0,1.0,1.0,0.0,
Akzyn,0.0,0.0,0.0,1.0,0.0,
Al3kHT,0.0,0.0,0.0,1.0,0.0,
AlArgente,0.0,0.0,0.0,1.0,0.0,
AlCenZ,0.0,0.0,0.0,1.0,0.0,
AlabasterStone,0.0,0.0,0.0,1.0,0.0,
Alafia-Ai,0.0,0.0,0.0,1.0,0.0,
